industry,subscription_type,country,usage_frequency,login_activity,support_tickets,monthly_spend,payment_history,churn
Education,Pro,UK,39.0,52.0,3,486,On_time,0
Technology,Pro,Sri lanka,23.0,75.0,2,150,Late,0
Healthcare,Basic,UK,22.0,53.0,3,296,Failed,0
Retail,Basic,Australia,33.0,76.0,1,364,On_time,0
Retail,Basic,Germany,27.0,59.0,1,207,Failed,1
Travel,Basic,Australia,16.0,15.0,2,74,On_time,0
Retail,Basic,Australia,3.0,101.0,1,186,Late,1
Technology,Enterprise,UK,18.0,4.0,3,405,On_time,0
Finance,Basic,USA,20.0,92.0,1,283,On_time,0
Healthcare,Enterprise,India,35.0,78.0,1,407,Late,0
Healthcare,Basic,USA,2.0,6.0,1,496,Failed,1
Healthcare,Enterprise,UK,18.0,90.0,3,290,Late,0
Retail,Pro,Sri lanka,,78.0,1,315,On_time,0
Retail,Enterprise,Australia,21.0,80.0,5,176,Failed,1
Retail,Pro,Australia,,45.0,0,346,Failed,0
Finance,Enterprise,UK,9.0,88.0,1,82,Failed,0
Healthcare,Enterprise,Germany,11.0,115.0,3,250,Failed,0
Technology,Basic,India,28.0,7.0,2,426,Late,1
Technology,Basic,Australia,24.0,37.0,4,481,Late,0
Retail,Pro,Sri lanka,3.0,1.0,2,302,Failed,1
Travel,Basic,USA,9.0,79.0,1,480,On_time,0
Healthcare,Basic,Sri lanka,32.0,103.0,3,250,Late,0
Healthcare,Pro,USA,15.0,43.0,2,262,On_time,0
Healthcare,Pro,USA,22.0,,5,305,Failed,1
Retail,Basic,USA,11.0,119.0,2,396,On_time,0
Technology,Enterprise,UK,27.0,62.0,0,480,Failed,0
Healthcare,Basic,Germany,3.0,103.0,1,337,Late,1
Retail,Basic,UK,37.0,97.0,0,191,Failed,0
Technology,Pro,USA,24.0,79.0,1,491,Late,0
Education,Enterprise,Australia,12.0,39.0,2,100,Failed,0
Finance,Pro,USA,2.0,2.0,1,243,Failed,1
Healthcare,Basic,Germany,33.0,1.0,1,191,On_time,1
Retail,Enterprise,Germany,26.0,32.0,2,203,On_time,0
Retail,Basic,Australia,17.0,38.0,3,259,Failed,0
Education,Basic,Germany,16.0,97.0,1,483,Failed,0
Technology,Pro,India,29.0,3.0,2,470,Late,0
Technology,Enterprise,India,19.0,20.0,1,436,On_time,0
Finance,Basic,UK,40.0,39.0,1,495,Late,0
Retail,Basic,India,25.0,50.0,4,79,On_time,0
Education,Basic,India,2.0,1.0,0,159,On_time,0
Technology,Basic,USA,5.0,37.0,2,166,On_time,0
Finance,Basic,Germany,16.0,3.0,6,273,Failed,1
Retail,Basic,Germany,35.0,112.0,0,118,Late,0
Retail,Basic,Germany,25.0,93.0,1,213,On_time,0
Finance,Enterprise,UK,35.0,80.0,2,417,On_time,0
Finance,Enterprise,Sri lanka,21.0,48.0,5,390,Late,0
Retail,Basic,Sri lanka,22.0,119.0,3,283,Failed,0
Healthcare,Enterprise,Australia,27.0,27.0,3,472,Failed,1
Travel,Enterprise,Australia,19.0,4.0,0,68,On_time,1
Retail,Basic,Australia,17.0,44.0,4,299,Late,0
Travel,Basic,India,,113.0,3,272,Late,0
Technology,Basic,USA,21.0,32.0,2,300,Late,0
Education,Basic,UK,31.0,54.0,2,307,Failed,0
Travel,Enterprise,Australia,22.0,23.0,1,405,On_time,0
Retail,Basic,USA,26.0,17.0,1,265,Late,0
Retail,Enterprise,USA,39.0,93.0,1,325,Late,0
Finance,Pro,Australia,25.0,24.0,4,419,On_time,0
Technology,Enterprise,UK,14.0,76.0,1,373,Failed,0
Technology,Basic,India,2.0,32.0,1,172,Failed,1
Travel,Basic,India,22.0,58.0,2,290,Failed,0
Retail,Enterprise,India,37.0,97.0,3,281,On_time,0
Healthcare,Pro,Australia,32.0,116.0,2,163,Late,0
Travel,Enterprise,USA,13.0,114.0,2,338,Late,0
Education,Enterprise,Germany,19.0,92.0,2,337,Failed,0
Healthcare,Basic,Germany,23.0,9.0,1,141,On_time,0
Education,Pro,UK,1.0,111.0,2,256,Late,1
Technology,Enterprise,Sri lanka,1.0,16.0,3,470,Failed,1
Retail,Basic,USA,12.0,26.0,2,481,Failed,0
Healthcare,Enterprise,USA,28.0,69.0,0,113,Failed,0
Finance,Basic,Australia,5.0,76.0,0,493,Late,0
Retail,Enterprise,UK,21.0,39.0,2,269,Late,0
Travel,Enterprise,India,10.0,118.0,1,242,Late,0
Healthcare,Basic,Sri lanka,10.0,19.0,3,299,On_time,0
Finance,Enterprise,Australia,16.0,119.0,6,464,On_time,0
Travel,Basic,USA,37.0,12.0,3,416,Failed,0
Technology,Basic,UK,12.0,95.0,1,261,Late,0
Travel,Enterprise,India,35.0,87.0,0,283,Failed,0
Finance,Basic,Germany,29.0,26.0,2,410,Late,0
Retail,Pro,Germany,4.0,58.0,5,413,Late,0
